stn,paite-kuki,oriya,chattisgarhi,haryanvi,arabic,assamese,english,bhojpuri,kannada,bengali,pashto,punjabi,marwari,maithili,nepali,rajasthani,haryanavi,hindi,garhwali,magahi,persian,telugu,marathi,sourashtra,french,chhattisgarhi,tamil,kumaoni,coorgi,dogri,tulu,meetei,konkani,kashmiri,gujarati,kutchi,sindhi,malayalam,mizo,himachali/pahari,urdu,lat,lon
prashant vihar-85,0,75,0,30,0,17,307,12,193,183,1,536,149,13,63,17,27,810,127,2,0,331,268,1,0,1,228,36,3,21,28,0,85,33,398,6,156,201,0,12,36,28.7157406,77.1351454
kirti nagar-98,4,110,0,20,0,20,378,10,306,230,0,378,78,22,176,14,10,598,58,0,4,424,326,0,0,2,360,12,0,6,54,4,150,8,386,16,136,276,4,16,74,28.64646,77.1412412
kirti nagar-48,2,172,0,18,0,32,462,20,408,360,0,558,84,50,226,16,26,820,64,0,0,574,448,0,0,0,470,42,0,8,64,2,208,10,518,8,192,304,2,34,60,28.6504091,77.1444268
kirti nagar-43,2,154,0,18,0,16,566,18,452,350,0,624,96,32,300,22,20,990,64,0,0,674,538,0,0,0,508,34,8,18,62,2,228,18,608,24,210,376,2,26,92,28.6504091,77.1444268
janakpuri-17,0,126,0,34,0,15,367,13,196,146,0,712,151,25,64,18,52,713,138,0,0,298,239,0,0,9,230,61,0,34,29,0,70,45,303,5,145,195,1,15,47,28.612087,77.104538
dwarka-134,0,59,0,18,0,15,136,4,107,68,0,178,87,17,34,3,18,321,72,0,0,143,104,0,0,0,105,26,1,11,24,0,41,14,119,1,47,93,0,7,26,28.5844884,77.0319756
dwarka-138,0,113,0,23,2,22,290,18,201,179,0,364,165,40,68,20,32,688,144,0,0,327,232,1,2,7,216,47,0,17,32,0,64,34,282,3,116,176,0,17,58,28.5844875,77.0319777
MADHUBAN ROAD SHAKARPUR,3,258,0,52,2,24,789,33,523,400,0,1004,340,54,232,50,65,1855,304,2,0,975,658,0,1,3,641,94,12,40,74,3,187,62,1018,12,354,483,4,25,70,28.6311409,77.286181
kirti nagar-45,0,156,0,46,2,40,650,12,546,478,0,742,134,44,342,32,14,1168,102,0,0,812,596,0,0,2,608,42,10,22,104,0,280,28,732,16,208,464,0,34,128,26.86569,75.788458
prashant vihar-84,0,98,0,22,1,10,272,13,191,135,3,406,136,18,85,22,17,657,107,0,0,284,232,0,0,1,227,24,5,14,30,0,63,26,316,9,111,161,0,13,29,28.7157406,77.1351454
kirti nagar-46,0,116,0,16,4,24,452,8,350,286,0,502,96,22,236,24,30,832,52,0,0,558,410,0,0,0,408,40,6,12,62,0,216,18,494,12,142,338,0,20,74,26.8658638,75.7957186
prashant vihar-89,1,77,0,28,1,6,286,15,187,134,3,427,137,8,62,28,19,678,126,2,0,321,224,0,0,6,209,40,5,23,36,1,65,34,345,8,152,162,1,7,34,28.7157406,77.1351454
kirti nagar-47,0,196,0,30,0,32,574,20,416,522,2,658,126,48,246,32,30,1140,86,4,0,686,558,0,0,0,486,44,2,28,70,0,206,32,556,6,234,370,2,44,68,26.865866,75.795464
vikaspuri-196,2,98,0,8,0,14,278,8,184,178,0,328,54,20,100,14,14,538,46,0,0,356,266,0,0,0,256,22,8,2,20,2,78,6,286,6,98,182,2,12,40,28.6436644,77.0792792
dwarka-137,0,105,0,15,0,12,242,6,152,134,3,361,93,19,44,15,27,520,70,0,0,265,212,0,2,3,168,50,2,115,29,0,57,138,262,3,106,160,0,10,39,28.5844877,77.0319772
janakpuri-71,0,52,0,10,0,5,168,10,105,75,0,264,64,16,35,13,13,303,53,1,0,178,127,0,1,0,117,23,0,10,18,0,41,19,182,4,94,81,0,6,28,28.6324434,77.0887254
dwarka-135,1,110,0,13,0,29,257,5,159,160,2,353,126,31,66,19,25,572,102,0,0,268,209,1,0,3,183,36,5,16,22,1,64,28,261,1,110,146,1,18,43,28.5844882,77.0319762
vikaspuri-294,0,140,0,28,0,30,414,16,242,250,0,730,120,38,106,28,28,836,100,0,0,412,322,0,0,4,268,44,4,24,32,0,94,48,474,12,226,252,0,16,44,28.6436091,77.0792777
vikaspuri-292,0,138,0,28,0,16,378,12,198,210,0,664,128,22,92,22,30,738,98,0,0,346,290,0,0,10,246,50,6,30,30,0,86,40,378,10,174,178,0,10,52,28.6387532,77.0738028
vikaspuri-293,0,122,0,38,0,16,352,14,216,172,10,734,178,24,98,22,32,818,138,4,0,314,264,0,0,4,268,62,4,42,40,0,80,62,394,8,174,226,0,10,58,28.6387532,77.0738028
vikaspuri-195,0,282,2,40,0,28,656,12,522,354,0,918,236,48,276,34,62,1468,182,0,0,850,678,0,0,2,650,96,12,36,68,0,226,50,858,30,322,472,0,30,152,28.6387532,77.0738028
dwarka-133,1,138,2,17,0,28,317,6,170,185,1,481,156,29,69,12,51,645,119,3,0,298,244,1,0,8,199,61,2,17,44,1,80,40,299,14,107,189,1,12,79,28.5844886,77.0319751
vikaspuri-197,0,166,0,6,0,32,474,20,366,308,0,538,110,36,200,22,38,912,98,0,0,584,392,0,0,4,438,74,8,2,62,0,152,18,504,18,192,322,0,26,96,28.6387532,77.0738028
