,arabic,assamese,bengali,bhojpuri,chattisgarhi,chhattisgarhi,coorgi,dogri,english,french,garhwali,gujarati,haryanavi,haryanvi,himachali/pahari,hindi,kannada,kashmiri,konkani,kumaoni,kutchi,magahi,maithili,malayalam,marathi,marwari,meetei,mizo,nepali,oriya,paite-kuki,pashto,persian,punjabi,rajasthani,sindhi,sourashtra,tamil,telugu,tulu,urdu,longitude,latitude
prashant vihar-85,0.0,17.0,183.0,12.0,0.0,1.0,3.0,21.0,307.0,0.0,127.0,398.0,27.0,30.0,12.0,810.0,193.0,33.0,85.0,36.0,6.0,2.0,13.0,201.0,268.0,149.0,0.0,0.0,63.0,75.0,0.0,1.0,0.0,536.0,17.0,156.0,1.0,228.0,331.0,28.0,36.0,77.1351454,28.7157406
vikaspuri-197,0.0,32.0,308.0,20.0,0.0,4.0,8.0,2.0,474.0,0.0,98.0,504.0,38.0,6.0,26.0,912.0,366.0,18.0,152.0,74.0,18.0,0.0,36.0,322.0,392.0,110.0,0.0,0.0,200.0,166.0,0.0,0.0,0.0,538.0,22.0,192.0,0.0,438.0,584.0,62.0,96.0,77.07927920000002,28.6436644
dwarka-135,0.0,29.0,160.0,5.0,0.0,3.0,5.0,16.0,257.0,0.0,102.0,261.0,25.0,13.0,18.0,572.0,159.0,28.0,64.0,36.0,1.0,0.0,31.0,146.0,209.0,126.0,1.0,1.0,66.0,110.0,1.0,2.0,0.0,353.0,19.0,110.0,1.0,183.0,268.0,22.0,43.0,77.0319762,28.5844882
dwarka-134,0.0,15.0,68.0,4.0,0.0,0.0,1.0,11.0,136.0,0.0,72.0,119.0,18.0,18.0,7.0,321.0,107.0,14.0,41.0,26.0,1.0,0.0,17.0,93.0,104.0,87.0,0.0,0.0,34.0,59.0,0.0,0.0,0.0,178.0,3.0,47.0,0.0,105.0,143.0,24.0,26.0,77.0319756,28.5844884
kirti nagar-48,0.0,32.0,360.0,20.0,0.0,0.0,0.0,8.0,462.0,0.0,64.0,518.0,26.0,18.0,34.0,820.0,408.0,10.0,208.0,42.0,8.0,0.0,50.0,304.0,448.0,84.0,2.0,2.0,226.0,172.0,2.0,0.0,0.0,558.0,16.0,192.0,0.0,470.0,574.0,64.0,60.0,77.14442679999999,28.6504091
kirti nagar-43,0.0,16.0,350.0,18.0,0.0,0.0,8.0,18.0,566.0,0.0,64.0,608.0,20.0,18.0,26.0,990.0,452.0,18.0,228.0,34.0,24.0,0.0,32.0,376.0,538.0,96.0,2.0,2.0,300.0,154.0,2.0,0.0,0.0,624.0,22.0,210.0,0.0,508.0,674.0,62.0,92.0,77.14442679999999,28.6504091
vikaspuri-195,0.0,28.0,354.0,12.0,2.0,2.0,12.0,36.0,656.0,0.0,182.0,858.0,62.0,40.0,30.0,1468.0,522.0,50.0,226.0,96.0,30.0,0.0,48.0,472.0,678.0,236.0,0.0,0.0,276.0,282.0,0.0,0.0,0.0,918.0,34.0,322.0,0.0,650.0,850.0,68.0,152.0,77.0738028,28.6387532
vikaspuri-196,0.0,14.0,178.0,8.0,0.0,0.0,8.0,2.0,278.0,0.0,46.0,286.0,14.0,8.0,12.0,538.0,184.0,6.0,78.0,22.0,6.0,0.0,20.0,182.0,266.0,54.0,2.0,2.0,100.0,98.0,2.0,0.0,0.0,328.0,14.0,98.0,0.0,256.0,356.0,20.0,40.0,77.07927920000002,28.6436644
kirti nagar-47,0.0,32.0,522.0,20.0,0.0,0.0,2.0,28.0,574.0,0.0,86.0,556.0,30.0,30.0,44.0,1140.0,416.0,32.0,206.0,44.0,6.0,4.0,48.0,370.0,558.0,126.0,0.0,2.0,246.0,196.0,0.0,2.0,0.0,658.0,32.0,234.0,0.0,486.0,686.0,70.0,68.0,75.795464,26.865866
prashant vihar-89,1.0,6.0,134.0,15.0,0.0,6.0,5.0,23.0,286.0,0.0,126.0,345.0,19.0,28.0,7.0,678.0,187.0,34.0,65.0,40.0,8.0,2.0,8.0,162.0,224.0,137.0,1.0,1.0,62.0,77.0,1.0,3.0,0.0,427.0,28.0,152.0,0.0,209.0,321.0,36.0,34.0,77.1351454,28.7157406
vikaspuri-292,0.0,16.0,210.0,12.0,0.0,10.0,6.0,30.0,378.0,0.0,98.0,378.0,30.0,28.0,10.0,738.0,198.0,40.0,86.0,50.0,10.0,0.0,22.0,178.0,290.0,128.0,0.0,0.0,92.0,138.0,0.0,0.0,0.0,664.0,22.0,174.0,0.0,246.0,346.0,30.0,52.0,77.0738028,28.6387532
